Id,Label,x,y,pixel_x,pixel_y
1,Node 1,700.66,-300.71,2740.66,1629.71
2,Node 2,672.23,-295.16,2712.23,1624.16
3,Node 3,476.66,-246.62,2516.66,1575.62
4,Node 4,224.50,-177.84,2264.50,1506.84
5,Node 5,158.50,-164.40,2198.50,1493.40
6,Node 6,14.29,-124.07,2054.29,1453.07
7,Node 7,-112.82,-88.63,1927.18,1417.63
8,Node 8,-208.15,-66.63,1831.85,1395.63
9,Node 9,-357.52,-26.07,1682.48,1355.07
10,Node 10,-465.55,-28.25,1574.45,1357.25
11,Node 11,-543.03,-24.98,1496.97,1353.98
12,Node 12,-576.86,-26.07,1463.14,1355.07
13,Node 13,-680.52,-24.98,1359.48,1353.98
14,Node 14,-759.09,-28.25,1280.91,1357.25
15,Node 15,-789.65,-28.25,1250.35,1357.25
16,Node 16,-936.96,54.68,1103.04,1274.32
17,Node 17,-969.70,66.69,1070.30,1262.31
18,Node 18,-1047.17,85.24,992.83,1243.76
19,Node 19,-1090.67,93.81,949.33,1235.19
20,Node 20,-1148.15,101.60,891.85,1227.40
21,Node 21,-1208.56,114.27,831.44,1214.73
22,Node 22,-1317.68,128.89,722.32,1200.11
23,Node 23,-1401.47,137.65,638.53,1191.35
24,Node 24,-1472.60,149.35,567.40,1179.65
25,Node 25,-1601.20,165.91,438.80,1163.09
26,Node 26,259.61,-474.44,2299.61,1803.44
27,Node 27,73.45,-369.04,2113.45,1698.04
28,Node 28,221.28,-204.78,2261.28,1533.78
29,Node 29,191.17,-266.38,2231.17,1595.38
30,Node 30,344.48,-236.26,2384.48,1565.26
31,Node 31,-56.59,-296.49,1983.41,1625.49
32,Node 32,-83.96,-367.67,1956.04,1696.67
33,Node 33,-264.65,-317.02,1775.35,1646.02
34,Node 34,-224.95,-429.27,1815.05,1758.27
35,Node 35,-108.60,-425.16,1931.40,1754.16
36,Node 36,-313.93,-426.53,1726.07,1755.53
37,Node 37,-308.45,-473.07,1731.55,1802.07
38,Node 38,-299.63,-594.38,1740.37,1923.38
39,Node 39,-217.79,-466.71,1822.21,1795.71
40,Node 40,-324.72,-313.93,1715.28,1642.93
41,Node 41,-552.79,-502.72,1487.21,1831.72
42,Node 42,-565.88,-606.38,1474.12,1935.38
43,Node 43,-111.03,-285.92,1928.97,1614.92
44,Node 44,-238.04,-248.52,1801.96,1577.52
45,Node 45,-266.75,-238.08,1773.25,1567.08
46,Node 46,-335.47,-225.90,1704.53,1554.90
47,Node 47,-447.69,-227.64,1592.31,1556.64
48,Node 48,-440.73,-302.45,1599.27,1631.45
49,Node 49,-456.39,-408.58,1583.61,1737.58
50,Node 50,-552.08,-410.32,1487.92,1739.32
51,Node 51,-545.12,-292.01,1494.88,1621.01
52,Node 52,-494.66,-239.82,1545.34,1568.82
53,Node 53,-542.28,-84.43,1497.72,1413.43
54,Node 54,-344.68,-152.87,1695.32,1481.87
55,Node 55,-234.39,-157.53,1805.61,1486.53
56,Node 56,-134.19,-177.72,1905.81,1506.72
57,Node 57,-8.36,-177.72,2031.64,1506.72
58,Node 58,303.41,36.72,2343.41,1292.28
59,Node 59,380.52,145.99,2420.52,1183.01
60,Node 60,434.11,111.89,2474.11,1217.11
61,Node 61,362.01,22.26,2402.01,1306.74
62,Node 62,250.94,221.99,2290.94,1107.01
63,Node 63,171.04,108.00,2211.04,1221.00
64,Node 64,141.82,63.18,2181.82,1265.82
65,Node 65,69.72,-44.97,2109.72,1373.97
66,Node 66,25.51,367.27,2065.51,961.73
67,Node 67,-20.32,395.65,2019.68,933.35
68,Node 68,-236.38,493.86,1803.62,835.14
69,Node 69,-270.21,428.38,1769.79,900.62
70,Node 70,-246.21,228.69,1793.79,1100.31
71,Node 71,-234.20,142.48,1805.80,1186.52
72,Node 72,-220.81,63.42,1819.19,1265.58
73,Node 73,-217.34,7.75,1822.66,1321.25
74,Node 74,-65.10,7.75,1974.90,1321.25
75,Node 75,-28.56,2.53,2011.44,1326.47
76,Node 76,-50.31,-106.21,1989.69,1435.21
77,Node 77,7.97,133.02,2047.97,1195.98
78,Node 78,-174.06,143.79,1865.94,1185.21
79,Node 79,-145.32,7.86,1894.68,1321.14
80,Node 80,-157.75,65.34,1882.25,1263.66
81,Node 81,-77.75,66.12,1962.25,1262.88
82,Node 82,-110.37,169.42,1929.63,1159.58
83,Node 83,-102.49,235.93,1937.51,1093.07
84,Node 84,-59.15,216.12,1980.85,1112.88
85,Node 85,153.60,81.88,2193.60,1247.12
86,Node 86,-400.31,345.92,1639.69,983.08
87,Node 87,-389.59,193.93,1650.41,1135.07
88,Node 88,-378.88,123.78,1661.12,1205.22
89,Node 89,-344.78,124.76,1695.22,1204.24
90,Node 90,-340.88,146.19,1699.12,1182.81
91,Node 91,-307.75,145.22,1732.25,1183.78
92,Node 92,-325.29,303.05,1714.71,1025.95
93,Node 93,-473.24,183.78,1566.76,1145.22
94,Node 94,-512.86,180.67,1527.14,1148.33
95,Node 95,-467.81,135.63,1572.19,1193.37
96,Node 96,-610.78,303.97,1429.22,1025.03
97,Node 97,-809.99,273.42,1230.01,1055.58
98,Node 98,-985.01,234.42,1054.99,1094.58
99,Node 99,-1083.42,294.83,956.58,1034.17
100,Node 100,-1094.13,283.14,945.87,1045.86
101,Node 101,-1210.08,247.09,829.92,1081.91
102,Node 102,-1176.95,175.97,863.05,1153.03
103,Node 103,-1068.80,214.94,971.20,1114.06
104,Node 104,-1023.01,147.71,1016.99,1181.29
105,Node 105,-925.58,156.48,1114.42,1172.52
106,Node 106,-1005.83,-90.27,1034.17,1419.27
107,Node 107,-926.61,-138.43,1113.39,1467.43
108,Node 108,-993.41,-65.42,1046.59,1394.42
109,Node 109,-1057.87,-37.46,982.13,1366.46
110,Node 110,-1098.26,-20.37,941.74,1349.37
