district_no,city,polling_place,polling_address,street,qualifier
1,Kowel,Kasyno Garnizonu Górka,,ul. Górka,
1,Kowel,Kasyno Garnizonu Górka,,Tranzyt Lubelski i Brzeski,
1,Kowel,Kasyno Garnizonu Górka,,ul. Marszałka Śmigłego Rydza,
1,Kowel,Kasyno Garnizonu Górka,,ul. Apteczna,
1,Kowel,Kasyno Garnizonu Górka,,ul. Szulhańskiego,
1,Kowel,Kasyno Garnizonu Górka,,ul. Kościelna,
1,Kowel,Kasyno Garnizonu Górka,,ul. Strażacka,
1,Kowel,Kasyno Garnizonu Górka,,ul. Soborna,
2,Kowel,szkoła powszechna Nr. 3,ul. Maciejowska,ul. Maciejowska,
2,Kowel,szkoła powszechna Nr. 3,ul. Maciejowska,ul. Wola,
2,Kowel,szkoła powszechna Nr. 3,ul. Maciejowska,ul. Szlachecka,
2,Kowel,szkoła powszechna Nr. 3,ul. Maciejowska,ul. Długa,
2,Kowel,szkoła powszechna Nr. 3,ul. Maciejowska,ul. Chmielna,
2,Kowel,szkoła powszechna Nr. 3,ul. Maciejowska,ul. Lubliniecka,
2,Kowel,szkoła powszechna Nr. 3,ul. Maciejowska,ul. Milanka-Jachów,
2,Kowel,szkoła powszechna Nr. 3,ul. Maciejowska,ul. Mało Gonczarna,
2,Kowel,szkoła powszechna Nr. 3,ul. Maciejowska,ul. Dużo Gonczarna,
2,Kowel,szkoła powszechna Nr. 3,ul. Maciejowska,ul. Ogrodowa,
2,Kowel,szkoła powszechna Nr. 3,ul. Maciejowska,ul. Nadbrzeżna,
2,Kowel,szkoła powszechna Nr. 3,ul. Maciejowska,ul. Cerkiewna,
2,Kowel,szkoła powszechna Nr. 3,ul. Maciejowska,ul. Gospodarcza,
3,Kowel,"szkoła ""Talmud-Tora""",ul. Krótka 37,ul. Krótka,
3,Kowel,"szkoła ""Talmud-Tora""",ul. Krótka 37,ul. Handlowa,
3,Kowel,"szkoła ""Talmud-Tora""",ul. Krótka 37,ul. Mieszczańska,
