"Prayer House","Location","Details/Sources"
"The Great Synagogue","Old City, Koshcheľna St.","Kovel Book - vol. 433, 16, 67. Gabbai: Asher Schwartz (1931)"
"The New (Great) Beit Midrash of Hol","New City, Kolejowa St.","""Pinkas Kovel"" - vol. 20 p. 22. Chairman: Yeshayahu Gonik. Gabbaim: Dov Steinberg, Yudel Gutman - 1936"
"Prozhansky's Beit Midrash (In the name of Avraham Shlomo Prozhansky)","New City, alley from Warszawska","Kovel Book - 246. vol. 17 p. 156. Gabbaim: Pinchas Prozhansky, Shmuel Yosef Werba"
"The Triskai Beit Midrash of the City (in the Old City)","Old City, alley from Brzeska St.","Kovel Book - 412. Gabbai: Pinchas Spiegelman (1937)"
"The Triskai Beit Midrash of Hol (New City - in the sands)","New City, Żeromskiego St.","Kovel Book - 358. Gabbaim: Moshe Liber Langer (1931), Pinchas Spiegelman (1934)"
"Antin's Beit Midrash","New City, Sienkiewicza St.",""
"The Beit Midrash of the Rabbi from Aisk","Old City area",""
"Schneider Beit Midrash (Shtiebel) (of the carpenters)","Old City, adjacent to the Great Synagogue","Kovel Book - 412. Gabbai: Yosef Gurin"
"Talmud Torah in the ""City""","Old City, Włodzimierska St.","Gabbai: Simcha Hinoch"
"Talmud Torah of Hol","New City, Listopadowa St.",""
"""Moshav Zkenim"" Prayer House","New City, Pomnikowa St.","Kovel Book - 368"
"Komercheski Beit Midrash","New City area","Kovel Book - 239"
"The Beit Midrash of the Kozhini Rabbi","Old City area",""
"The Beit Midrash of the Shopkeepers","New City area",""
"""Hesed Shel Emet"" Prayer House","Unknown",""
"""Linat HaTzedek"" Beit Midrash","Old City, vicinity of Synagogue (Shinena) St.","Kovel Book - 352. Gabbai: Binyamin Friedman (1931)"
"The Merchants' Beit Midrash","Unknown","Gabbai: Noah Fierstein - ""Kol Kovel"" 1931"
"""Ahava Raba"" Beit Midrash","Unknown","Gabbai: Pesach Gonik (1933)"
"Brik Beit Midrash","Presumably in the New City","Representative: Yitzhak Tuvia Ptabkavski"
"Monopolowa St. Beit Midrash","New City","Representative: Leib Plat"
"Synagogue in ""Kovel 2""","Kovel 2 area (Kovel Wtóry)",""
"Stepenai Shtiebel","Old City, Handlowa St.","Gabbai: Leizer Svinyu (1931, 1935)"
"The Brisker Shtiebel","Old City, vicinity of Synagogue (Shinena) St.",""
"The Ludmirai Shtiebel","Old City, Włodzimierska St.",""
"The Lubavitcher Shtiebel (Beit Midrash) (Lubavitch)","Old City, Market area","Person in charge: Moshe Teitelboim (1934). Gabbai: Yehoshua-Dov Becker (1935). Kovel Book - 452"
"The Kotsker Shtiebel","Old City, Market area",""
"The Stoliner Shtiebel","Old City",""
"The Tailors' Shtiebel","Old City, Rzeczna St.",""
"The Shtiebel of the Kotsk Hasidim","Old City, Market area",""
"The Shtiebel of the Neskhizh Hasidim","Old City, vicinity of Synagogue (Shinena) St.",""
"The Karliner Shtiebel","Old City, near Synagogue (Shinena) St.",""
"The Ruzhiner Shtiebel","Old City, Magistracka St.","Kovel Book - 244. Gabbai: Yitzhak Leib Ehrlich (1934)"
"Sadigura Hasidim Shtiebel","Unknown","""The Heroism of the Weak"" - Yaakov Rozmarin (63)"
"""Agudat Yisrael"" Shtiebel","Unknown","""The Heroism of the Weak"" - Yaakov Rozmarin (63)"
"Minyan of Rabbi Ephraim Kretzner (Ephraim the Dayan)","New City, alley from Łucka St.",""
"Minyan in Gorki","Gorki (end of Brzeska St.)",""
"Minyan at the Grabavitzer","Old City",""
"Minyan at Rabbi Eliezer Nitzberg","Unknown","Gabbai: Ben Zion Turk"
"Minyan named after Armernik (Dov)","New City","Announcement in Kol Kovel 1937"
