name,location_within_kowel_city_limits,description,year_mentioned
Herzliah School,Yes,A Hebrew elementary school in Kovel,"1847, 1945"
Bialik School,No,A school in Tel Aviv (mentioned in relation to Kovel),"1945"
Sokolov–Laor School,No,A school in Jaffa (mentioned in relation to Kovel),"1945"
Klomel School,Yes,A school in Kovel named after Dr. Klomel,"1847, 1945"
Habima (Hebrew studio),Yes,A Hebrew studio in Kovel,"1945"
Barzilay library,No,A library in Israel (mentioned in relation to Kovel),"1945"
Beit Bialik library,No,A library in Tel Aviv (mentioned in relation to Kovel),"1945"
Shaarey Zion library,No,A library in Tel Aviv (mentioned in relation to Kovel),"1945"
Beit Achad Ha'am,No,A cultural center in Tel Aviv (mentioned in relation to Kovel),"1945"
Rambam library,No,A library in Tel Aviv (mentioned in relation to Kovel),"1945"
Cemetery,Yes,A cemetery in Kovel where victims were buried,"1547, 1893, 1945"
Market,Yes,A marketplace in Kovel,"1847, 1945"
River,Yes,A river in Kovel (possibly Styr or Turiya),"1847, 1945"
Kovel,Yes,A city established in 1518,"1518"
Synagogue,Yes,A synagogue in Kovel,"1569"
Marketplace,Yes,A marketplace in Kovel,"1547"
Castle of Kovel,Yes,A castle in Kovel,"1569"
River Tura,Yes,A river in Kovel,"14th Century"
Uniate churches,Yes,Churches in Kovel,"1660"
Catholic Church,Yes,A church in Kovel,"1660"
Jewish ritual bath (mikveh),Yes,A ritual bath in Kovel,"1650"
Old Cemetery,Yes,An ancient cemetery in Kovel,"1893"
Ancient Cemetery,Yes,An ancient cemetery in Kovel,"1893"
New Cemetery,Yes,A cemetery in Kovel,"1893"
Old Vakzalna Street,Yes,A street where Yaacov-Aharon Entin lived,"1898"
Beit HaNetivot Street,Yes,A beautiful street in Kovel with paved roads,"1847"
Old station,Yes,An old train station in Kovel,"1847"
New station,Yes,A new train station in Kovel,"1847"
Niebieski Prospect,Yes,A romantic promenade in Kovel,"1847"
Cinema houses,Yes,Cinema houses in Kovel,"1847"
Bathhouse,Yes,A newly-repaired bathhouse in Kovel,"1847"
Projenski synagogue,Yes,A synagogue for the aristocracy of Kovel,"1847"
Zand synagogue,Yes,A synagogue in the Zand quarter of Kovel,"1847"
Luxury shops,Yes,Luxury shops in Kovel with modern showcase windows,"1847"
Printing houses,Yes,Printing houses in Kovel,"1847"
Post office,Yes,A post office in Kovel,"1847"
Magistrat,Yes,A municipal building in Kovel,"1847"
Hebrew Gymnasia,Yes,A Hebrew gymnasia in Kovel,"1847"
Small church,Yes,A small church in Kovel,"1915"
Large church,Yes,A large church in the Zand quarter of Kovel,"1920s"
Engineering school,Yes,An engineering school in Kovel,"1920s"
Old wooden bridge,Yes,An old wooden bridge in Kovel,"1847"
Concrete bridge,Yes,A concrete bridge in Kovel,"1847"
Tura River,Yes,A river in Kovel,"1847"
Old Varba's house,Yes,A large two-story walled house in Kovel,"1847"
Kaploshnick's house,Yes,A fine house with a tidy shop in Kovel,"1847"
Sports field,Yes,A sports field in Kovel,"1847"
Great synagogue,Yes,An enormous building and great synagogue in Kovel,"1847"
Firefighters' company,Yes,A Jewish firefighting company in Kovel,"1847"
Maccabi team,Yes,A sports organization and soccer team in Kovel,"1847"
Legia,Yes,A sports organization in Kovel,"1847"
Bar Kochba,Yes,A sports organization in Kovel,"1847"
Kadima,Yes,A sports organization and national organization in Kovel,"1847"
Old cemetery on Matisov Street,Yes,An ancient cemetery in Kovel with tombstones carved nearly four hundred years ago,"5660s (early 20th century)"
Talmud Torah building,Yes,A building where a proper and excellent restaurant for soldiers was organized,"1909"
Pirogov's Gymnasia,Yes,A gymnasia in Kovel,"1909"
Old train station,Yes,A train station in Kovel where the first refugees came during World War I,"1914"
Jewish Colonial Bank,Yes,A bank in Kovel where Dr. Avraham Kastelnesky worked,"1912"
Herzliya Elementary School,Yes,A Hebrew elementary school in Kovel,"1922"
Tarbut Gymnasia,Yes,A Hebrew gymnasia in Kovel,"1924"
Karla Davidova Gymnasia,Yes,A gymnasia in Kovel,"1924"
Trisk Rebbe's Synagogue,Yes,A synagogue in Kovel where the Trisk Rebbe danced,"1924"
Kovel Rebbe's Synagogue,Yes,A synagogue in Kovel where the rebbe danced,"1924"
Great Synagogue,Yes,A synagogue in Kovel where Jews prayed,"1924"
Zionist club,Yes,A club in Kovel where young people discussed nationalist subjects,"1924"
Kovel Forest,No,A dense forest with abundant shade, fertile ground, and a variety of trees and wildlife,"Not specified"
