Nr. Obwodu,Adres biura komisji i lokalu wyborczego,Miescowosci (ulice) wchodzace w sklad obwodu,Photo of building on this street,North,East
1,Kowel-Kasyno Garnizonu Gorka,ul. Górka Tranzyt Lubelski i Brzeski,,,
1,Kowel-Kasyno Garnizonu Gorka,ul. Marszałka Śmigłego Rydza,,,
1,Kowel-Kasyno Garnizonu Gorka,Apteczna,,,
1,Kowel-Kasyno Garnizonu Gorka,Szuhajskiego,,,
1,Kowel-Kasyno Garnizonu Gorka,Kościelna,," 51°12'57.70""N"," 24°41'54.08""E"
1,Kowel-Kasyno Garnizonu Gorka,Strażacka,,,
1,Kowel-Kasyno Garnizonu Gorka,Soborna,,,
2,szkola powszechna Nr.3 ul Maciejowska,ul. Maciejowska,,,
2,szkola powszechna Nr.3 ul Maciejowska,Wola,,,
2,szkola powszechna Nr.3 ul Maciejowska,Szlachecka,,,
2,szkola powszechna Nr.3 ul Maciejowska,Długa,,,
2,szkola powszechna Nr.3 ul Maciejowska,Chmielna,,,
2,szkola powszechna Nr.3 ul Maciejowska,Lubliniecka,,,
2,szkola powszechna Nr.3 ul Maciejowska,Mijanka - Jachów,,,
2,szkola powszechna Nr.3 ul Maciejowska,Mało Gonczarna,,,
2,szkola powszechna Nr.3 ul Maciejowska,Dużo Gonczarna,,,
2,szkola powszechna Nr.3 ul Maciejowska,Ogrodowa,,,
2,szkola powszechna Nr.3 ul Maciejowska,Nadbrzeżna,,,
2,szkola powszechna Nr.3 ul Maciejowska,Cerkiewna,,,
2,szkola powszechna Nr.3 ul Maciejowska,Gospodarcza,,,
3,"szkola ""Talmud-Tora"" ul. Krotka 37",ul Krótka,,,
3,"szkola ""Talmud-Tora"" ul. Krotka 38",Handlowa,,,
3,"szkola ""Talmud-Tora"" ul. Krotka 39",Mieszczańska,,,
3,"szkola ""Talmud-Tora"" ul. Krotka 40",Kąpielowa,,,
3,"szkola ""Talmud-Tora"" ul. Krotka 41",Włodzimierska,,,
3,"szkola ""Talmud-Tora"" ul. Krotka 42",Rzeczna,,,
