Building,Address,Purpose,Destroyed (Y/N)
Great Synagogue,Not specified,Religious (Synagogue),Y
Houses of Learning,Not specified,Religious education,Y
Shtiblach (Stolin and Trisk Hassidim),Not specified,Religious (Hasidic prayer houses),Y
Rabbi's Courtyard,Not specified,Religious (Rabbi's residence and court),Y
Hebrew Primary Schools,Not specified,Education (Primary schooling),Y
High School,Not specified,Education (Secondary schooling),Y
House on Matseyev Street,Matseyev Street (crossroads of Brisker, Trisker, Matseyever, Lutsker),Residential,Y
Train Station,Not specified,Transportation,Y
Cuperfein's Oil Press,Fabryczne Street,Industrial (Oil production),Y
Armarnik's Mill,Fabryczne Street,Industrial (Milling),Y
Jewish Hospital,Not specified,Medical (Hospital),Y
Beis Yesoymim,Not specified,Orphanage,Y
Moyshev Skeynim,Not specified,Old-age home,Y
ORT School,Not specified,Vocational education,Y
TOZ Summer Residences,Not specified,Health (Children's summer camps),Y
Herzlia and Dr. Klumel School,Not specified,Education (Secondary schooling),Y
Tarbut Gymnazie,Not specified,Education (Zionist secondary school),Y
Polish-Jewish Middle School,Not specified,Education (Secondary schooling),Y
Tsysho School,Not specified,Education (Yiddish socialist school),Y
Talmud Torah,Not specified,Religious education (Free school for poor boys),Y
Yeshivus,Not specified,Religious education (Secondary religious schools),Y
People's Libraries,Not specified,Cultural (Library),Y
Peretz Library,Not specified,Cultural (Yiddish library),Y
Pruszanski's House of Prayer,Not specified,Religious (Synagogue),Y
Komerczeske Synagogue,Zamd (Sands),Religious (Synagogue),Y
Trisker Shtibl,Not specified,Religious (Hasidic prayer house),Y
Lubavitcher Shtibl,Not specified,Religious (Hasidic prayer house),Y
Ruzhyner Shtibl,Not specified,Religious (Hasidic prayer house),Y
Stepaner Shtibl,Not specified,Religious (Hasidic prayer house),Y
Neshchizer Shtibl,Not specified,Religious (Hasidic prayer house),Y
Jewish Civic Club,Not specified,Community center,Y
Zionist Community Center,Not specified,Community center (Zionist activities),Y
NKVD Building,Not specified,Administrative (Soviet security headquarters),N
Soviet Prison,Not specified,Detention (Prison),N
Vocational High School No. 3,Not specified,Education (Former Dr. Klumel School),Y
